Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2014-0002162,3/1/14,3/1/2014  2:03:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,HUPD HQ 1033-6 MASSACHUSETTS AVE,MA,CLOSED,Officer took a walk-in report of suspicious activity.
2014-0002167,3/1/14,2/28/2014 10:00:00AM To 11:00:00AM,LOST PROPERTY,Theft,LIONEL HALL B 14 HARVARD YARD,MA,CLOSED,"Officer dispatched to a report of a stolen wallet valued at $40 that contained credit cards, ids, and $40.
Update 3/5/14: The reporting individual informed the officer that their wallet was located with the security guard and was not stolen but misplaced. This incident has been reclassified from a theft report to lost property and is closed pending any further information."
2014-0002176,3/1/14,3/1/2014 To 3/2/201410:54:00PM To 12:40:00AM,DOMESTIC DISTURBANCE,Disturbance,SFP SOLDIERS FIELD PARK 01 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of a domestic disturbance.  Officers arrived and spoke to the two individuals.  Officers report the individuals were having  a heated discussion and all was in order.
2014-0002180,3/2/14,3/2/2014 12:17:00AM To 12:30:00AM,OPEN & GROSS,Sexual Assault,ADAMS HOUSE F 45-57 BOW ST,MA,OPEN,Officer dispatched on the report of a male who had urinated on the welcome mat outside of the reporting party's room.  The reporting party stated that the individual was startled and fled the area after they opened their door.
2014-0002189,3/2/14,3/2/2014  2:21:00AM To  2:36:00AM,PROPERTY DAMAGE,Theft,SOC HILLES 59 SHEPARD ST,MA,CLOSED,Officer dispatched to the report of a broken window.  Officers arrived and was unable how the damage was caused and whether it was intentionally done.
2014-0002191,3/2/14,3/2/2014  2:50:00AM,NOISE COMPLAINT,Noise,SFP SOLDIERS FIELD PARK 01 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of loud music.  Officers arrived and told the occupants of apartment 507 to keep the noise down.
2014-0002221,3/2/14,3/2/2014 12:57:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,EXTENSION SCHOOL 1 STORY ST,MA,CLOSED,Officers dispatched on the report of a person on the third floor who may not belong.  Officers report the individual was gone on arrival.
2014-0002225,3/2/14,3/2/2014  2:41:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,DANE HALL 22 EVERETT ST,MA,CLOSED,Officers dispatched on the report of three individuals possibly smoking marijuana on the front steps.  Officers report the individuals were gone on arrival.
2014-0002227,3/2/14,3/2/2014  1:30:00PM To  2:00:00PM,ASSAULT REPORT,Violence,SPANGLER CENTER 117 WESTERN AVE,MA,OPEN,"Officer dispatched to take a report of a past assault and battery.
Update 3/6/14: An individual involved in this incident was issued a trespass warning for all Harvard University property."
2014-0002239,3/3/14,3/3/2014 12:01:00AM To  6:38:00AM,PROPERTY DAMAGE,Theft,AGASSIZ THEATRE 14 MASON ST,MA,CLOSED,Officer dispatched to take a report of a broken window in the Agassiz Building and a broken window in the Knafel Center building. Officer reports it is unknown how the windows were broken and management was notified of the incident to repair the windows.
2014-0002256,3/3/14,3/3/2014  1:15:00PM To  1:16:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,BUSINESS SCHOOL LOT 112 WESTERN AVE,MA,CLOSED,Officer dispatched to take a report of suspicious activity. Upon arrival the reporting individual informed the officer an individual driving a vehicle stopped and asked where they were at and other questions regarding access to the area buildings. The reporting individual informed the individual they could not give them that information and the individual left the area.
2014-0002258,3/3/14,3/3/2014  1:43:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,BUSINESS SCHOOL LOT 112 WESTERN AVE,MA,CLOSED,"Officer observed an two individuals pushing a large piece of equipment, under a sheet to their vehicle. The officer was informed that the individual was given permission to take the ice maker by their supervisor and was sent on their way."
2014-0002260,3/3/14,2/27/2014 To 3/3/2014 2:18:00PM To  2:15:00PM,ANNOYING CALLS/TEXTS/EMAILS,Disturbance,AREEDA HALL 1545 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report that an individual received two annoying phone calls.
2014-0002262,3/3/14,3/3/2014  4:20:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,WIDENER GATE 42 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of an individual urinating in the area. Officers searched the are for the individual with negative results.
2014-0002273,3/3/14,3/3/2014 10:07:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,1 WESTERN AVENUE ,MA,CLOSED,Officer dispatched to a report of the smell of marijuana. Officer reports there was no smell of marijuana upon their arrival.
2014-0002279,3/4/14,11/18/2014 To 11/19/2014 1:00:00AM To  1:00:00AM,INDECENT ASSAULT,Violence,RIVER DORMS,MA,OPEN,Officer took a report of an indecent assault.
2014-0002287,3/4/14,3/1/2014  8:00:00PM To 10:30:00PM,THEFT REPORT,Theft,KIRKLAND HOUSE A 95 DUNSTER ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended brown Coach wristlet valued at $100. The wristlet contained two gift cards, two identification cards, an insurance card and a credit/debit card.
Update 4/2/14: This case is closed pending any further information."
2014-0002291,3/4/14,3/1/2014 To 3/3/2014 5:00:00PM To  7:00:00PM,THEFT REPORT,Theft,SFP SOLDIERS FIELD PARK 02 111 WESTERN AVE,MA,CLOSED,"Officer dispatched to take a report of a stolen package that contained an HP computer printer valued at $100.
Update 4/18/14: This case is closed pending any further information."
2014-0002297,3/4/14,2/27/2014 To 3/3/2014 8:00:00AM To  7:00:00PM,THEFT REPORT,Theft,MATTHEWS HALL NORTH 9 HARVARD YARD,MA,CLOSED,"Officer dispatched to take a report of a stolen black Windsor Essex bicycle valued at $250. The bike was locked to the rack in front of the building.
Update 5/1/14: The bike that was reported stolen in this incident was subsequently recovered at another location and the owner was notified to claim the bike."
2014-0002298,3/4/14,3/4/2014  3:00:00PM,ASSIST BOSTON POLICE,Other, 90 SMITH ST,MA,CLOSED,Officer reports hearing gun shots in the area and seeing individuals run from the area. Officers advised Boston Police who searched the area for anything suspicious with negative results.
2014-0002305,3/4/14,3/4/2014  6:40:00PM,TRESPASS WARNING,Suspicious activity,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest in the building. Officers arrived located the individual and conducted a field interview. The individual was checked for wants/warrants with negative results. The individual was issued a trespass warning for all Harvard University property and sent on their way.
2014-0002310,3/4/14,3/4/2014  9:40:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,CHILD HALL 26 EVERETT ST,MA,CLOSED,Officers dispatched to a report that an individual received a suspicious phone call from an unknown individual claiming to be locked out of the building. Officers searched the area for anyone suspicious or locked out with negative results.
2014-0002318,3/5/14,3/5/2014  4:00:00AM To  7:00:00AM,VANDALISM,Suspicious activity,114 WESTERN AVE LOT 114 WESTERN AVE,MA,CLOSED,Officer dispatched to take a report of vandalism. Upon arrival the reporting individual informed the officer their vehicle's back tire was punctured causing it to become flat.
2014-0002319,3/5/14,3/5/2014  8:21:00AM,UNWANTED GUEST,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual sleeping in the building. Officers arrived and sent the individual on their way.
2014-0002326,3/5/14,3/3/2014 11:00:00AM To 12:00:00PM,ASSIST OTHER PD,Other,SPANGLER CENTER 117 WESTERN AVE,MA,CLOSED,Officer assisted the Easton Police Department with taking a report.
2014-0002337,3/5/14,3/5/2014 12:55:00PM,209 A SERVICE,Other,BAKER LIBRARY 25 HARVARD WAY,MA,CLOSED,Officer received a copy of a 209A.
2014-0002340,3/5/14,3/5/2014  1:49:00PM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,WIDENER LIBRARY 31 HARVARD YARD,MA,CLOSED,Officer dispatched to a report of an unattended bag left near the steps. Officer reports the bag was gone on arrival.
2014-0002356,3/5/14,3/5/2014  8:42:00PM,ASSIST CAMBRIDGE POLICE,Other, MT AUBURN ST / DEWOLFE ST,MA,CLOSED,Officer assisted CPD with a motor vehicle accident.
2014-0002371,3/6/14,3/6/2014  9:34:00AM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest refusing to leave. Officers arrived and sent the individual on their way.
2014-0002382,3/6/14,3/6/2014 12:49:00PM,DISTURBANCE,Disturbance,5 SACRAMENTO STREET 5 SACRAMENTO ST,MA,CLOSED,Officers dispatched to a report of two individuals involved in an altercation. Officers spoke with the individuals involved and contacted real estate to follow up on the matter.
2014-0002395,3/6/14,2/11/2014 To 3/3/201412:00:00PM To  4:24:00PM,THEFT REPORT,Theft,PIERCE HALL 29 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen Apple MacBook Pro valued at $2,082.
Update 4/4/14: This case is closed pending any further information."
2014-0002397,3/6/14,3/6/2014  5:49:00PM,THEFT REPORT,Theft,MATHER HOUSE B 93 BANKS ST,MA,CLOSED,"Officer dispatched to take a report of a stolen wallet valued at $20. The wallet contained several credit/debit cards, $100, keys, a license and an identification card.
Update 8/27/14: Complaints were issued against an individual in this incident.
Name: Vick, Ronald
Age: 47
Address: 32 Harvard Avenue., Brighton, MA 02118
Charge(s): Misuse of a Credit Card (1 count)
Receiving Stolen Property Under $250.00 (1 count)
Update 6/16/15: This case is closed pending any further information."
2014-0002398,3/6/14,3/6/2014  5:56:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,PERKINS HALL 35 OXFORD ST,MA,CLOSED,Officer dispatched to a report that an individual urinated in the area. Officer reports the individual was gone on arrival.
2014-0002401,3/6/14,3/6/2014  7:30:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,PEABODY TERRACE 02 900 MEMORIAL DR,MA,CLOSED,Officers dispatched to a report of an individual hanging around outside the building. Officers searched the area for the individual with negative results.
2014-0002403,3/6/14,3/6/2014  8:09:00PM,UNWANTED GUEST,Suspicious activity,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping on a bench. Officers arrived and sent the individual on their way.
2014-0002410,3/7/14,3/7/2014  1:08:00AM,LOUD PARTY,Noise,SFP SOLDIERS FIELD PARK 01 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and report the party in room 322 was ending for the night and the occupants were in the process of leaving.
2014-0002413,3/7/14,3/7/2014  3:33:00AM,UNWANTED GUEST,Suspicious activity,"WCC, WASSERSTEIN HALL 1585 MASSACHUSETTS AVE",MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping in the building. Officers arrived and sent the individual on their way.
2014-0002423,3/7/14,3/7/2014  9:00:00AM To  9:28:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,LAMONT LIBRARY 11 QUINCY ST,MA,OPEN,Officer dispatched to take a report that an unknown individual(s) had written a derogatory statement on the bathroom wall.
2014-0002441,3/7/14,3/7/2014  3:42:00PM,UNWANTED GUEST,Suspicious activity,BAKER HALL 45 HARVARD WAY,MA,CLOSED,Officer dispatched to a report of an unwanted guest handing out their business cards in the building. Officer reports the individual was gone on arrival.
2014-0002442,3/7/14,3/6/2014 To 3/7/201410:00:00AM To  3:00:00PM,LOST PROPERTY,Theft,CHILD HALL 26 EVERETT ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured black wallet valued at $50. The wallet contained a license and $43.
Update 3/10/14: The reporting individual informed the officer they found their wallet that they had misplaced. This incident has been reclassified from a theft report to lost property."
2014-0002444,3/7/14,3/7/2014  5:41:00PM,ASSIST CAMBRIDGE POLICE,Other, 10 FLAGG ST,MA,CLOSED,Officer assisted CPD with searching the area for a suspicious individual following another individual in the area. Officers searched the area with negative results.
2014-0002445,3/7/14,1/30/2014 To 3/7/2014 6:44:00PM To  7:12:00PM,HARASSMENT,Harassment,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report that an individual has been receiving harassing phone calls.
2014-0002458,3/8/14,3/8/2014 12:50:00AM To  1:30:00AM,THEFT REPORT,Theft,LEVERETT HOUSE TOWERS F 44 DEWOLFE ST,MA,CLOSED,"Officer dispatched to take a report of a stolen Apple MacBook Pro valued at $2,000 and a credit/debit card.
Update 3/27/14: Complaints were issued against two individuals involved in this incident:
Name: Juvenile Complaint
Charge(s): Enter Dwelling at Night for Felony
Trespassing
Larceny Over $250
Name: Eliacin, Alexander
Age: 19
Address: 42 Pilgrim St., Cambridge, MA
Charge(s): Enter Dwelling at Night for Felony
Trespassing"
2014-0002462,3/8/14,3/8/2014  4:00:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,LANGDELL HALL 1545 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of a suspicious individual attempting to gain access into the building. Officers arrived and searched the area for the individual with negative results.
2014-0002475,3/8/14,3/8/2014  3:46:00PM,NOISE COMPLAINT,Noise,LAMPOON 44 BOW ST,MA,CLOSED,Officer dispatched to a report of loud music coming from the building. Officer arrived and instructed the occupants to turn the music down.
2014-0002490,3/8/14,3/8/2014 11:00:00PM To 11:30:00PM,THEFT REPORT,Theft,CABOT HOUSE RESIDENT DEANS RES 103 WALKER ST,MA,CLOSED,"Officer dispatched to take a report of a stolen backpack that contained a computer mouse, book and miscellaneous papers. The individual informed the officer they parked their vehicle in the driveway and when they returned discovered the passenger side window smashed and their backpack stolen."
2014-0002491,3/8/14,3/8/2014 11:55:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,MORRIS HALL 14 HARVARD WAY,MA,CLOSED,Officers dispatched to a report of an individual following another individual in the area. Officers spoke with security who confirmed the individual is an affiliate and was not acting in a suspicious manner.
2014-0002496,3/9/14,3/9/2014  1:03:00AM,LOUD PARTY,Noise,MATHER HOUSE B 93 BANKS ST,MA,CLOSED,Officer dispatched to a report of a disturbance. Officer arrived and reports there was a loud party in room 310 that was ending for the night.
2014-0002497,3/9/14,3/9/2014  1:48:00AM,LOUD PARTY,Noise,CONANT HALL 36 OXFORD ST,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and instructed the individuals to keep the noise down. Officer reports management was also aware of the party.
2014-0002499,3/9/14,3/9/2014  3:23:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,HOLLIS HALL NORTH 13 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of individuals yelling in the area. Officers arrived and searched the area for any individuals yelling or in need of assistance with negative results.
2014-0002505,3/9/14,3/9/2014 10:02:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,MAC MALKIN ATHLETIC CENTER 39 HOLYOKE ST,MA,CLOSED,Officers dispatched to a report of a suspicious individual in the area. Officers report the individual was gone on arrival.
2014-0002513,3/9/14,3/9/2014  4:59:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,JOHNSTON GATE 47 HARVARD YARD,MA,CLOSED,Officer dispatched to a report of an individual walking around the area asking strange questions. Officer reports the individual was gone on arrival.
2014-0002514,3/9/14,2/14/2014 To 3/7/2014 5:00:00PM To  6:00:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,HARVARD YARD 1 PEABODY ST,MA,CLOSED,"Officer took a report of suspicious activity. The reporting individual informed the officer that an unknown individual has approached them at three different locations, on three different occasions and sung to them. The individual was instructed to call the HUPD should they see this individual again."
2014-0002516,3/9/14,3/9/2014 11:54:00PM,NOISE COMPLAINT,Noise,MCARTHUR HALL 47 HARVARD WAY,MA,CLOSED,Officer dispatched to a report of an alarm clock going off. Officer arrived and turned the alarm off.
2014-0002517,3/10/14,3/10/2014 12:11:00AM,LOUD PARTY,Noise,SFP SOLDIERS FIELD PARK 06 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and advised the occupants of apartment 220 to keep the noise down.
2014-0002535,3/10/14,3/10/2014  7:44:00AM,TRESPASS WARNING,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest exposing themselves in the area. Officers arrived and located the individual and conducted a field interview. The individual informed the officers that they were tucking in their shirt. The individual was issued a trespass warning for all Harvard University property and sent on their way.
2014-0002537,3/10/14,3/10/2014  7:51:00AM,ASSIST OTHER PD,Other,WINTHROP HOUSE A 32 MILL ST,MA,CLOSED,Officers assisted the Boston University Police with an incident.
2014-0002541,3/10/14,3/6/2014 To 3/10/2014 9:00:00AM To  9:00:00AM,THEFT REPORT,Theft,RIVERSIDE HOUSING COMPLEX 5 COWPERTHWAITE ST,MA,CLOSED,"Officer dispatched to take a report of a stolen black LG 40"" television valued at $500."
2014-0002545,3/10/14,2/24/2014 To 3/10/2014 5:30:00PM To 10:27:00AM,THEFT REPORT,Theft,BAKER LIBRARY 25 HARVARD WAY,MA,CLOSED,"Officer dispatched to take a report of stolen containers valued at $20, bags of coffee valued at $100, a bottle of olive oil valued at $40 and a block of cheese valued at $40."
2014-0002549,3/10/14,3/8/2014  4:30:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,KRESGE 677 HUNTINGTON AVE,MA,CLOSED,Officer dispatched to take a report that an individual received a suspicious voice mail message.
2014-0002551,3/10/14,3/10/2014 11:38:00AM,TRESPASS WARNING,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,"Officer dispatched to a report of an unwanted guest in the building looking for another individual. The reporting individual informed the officer that they could not give the individual the information they were looking for so the individual left the building. The officer instructed the individuals to contact the HUPD should the individual return. At 1513 hours, Officers were dispatched to Baker Library on the report of an individual looking for another individual. Officers located the individual and conducted a field interview. Officers determined the individual was the same individual from the Smith Campus Center earlier. The individual was checked for wants/warrants with negative results. The individual was issued a trespass warning for all Harvard University property and sent on their way."
2014-0002554,3/10/14,3/10/2014 12:38:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,NORTHWEST SCIENCE BUILDING 52 OXFORD ST,MA,CLOSED,Officers dispatched to a report of a suspicious individual in the building. Officers report the individual was gone on arrival.
2014-0002559,3/10/14,3/8/2014 To 3/10/201412:00:00PM To  2:45:00PM,THEFT REPORT,Theft,WIDENER LIBRARY 31 HARVARD YARD,MA,CLOSED,"Officer took a report of a stolen wallet that contained $67, a credit/debit card and a license. Officer was informed that the individual had located their wallet but the money card and license were missing."
2014-0002562,3/10/14,3/6/2014 To 3/7/2014 3:00:00PM To 12:00:00PM,THEFT REPORT,Theft,C1 BUILDING - HARVARD MEDICAL 240 LONGWOOD AVE,MA,CLOSED,Officer dispatched to take a report of a stolen black Fit Bit monitoring bracelet valued at $120.
2014-0002563,3/10/14,3/10/2014  3:59:00PM,ASSIST CAMBRIDGE POLICE,Other, PLYMPTON ST / MASSACHUSETTS AVE,MA,CLOSED,"Officer was informed that an individual was carjacking a vehicle in the area. The officer was informed that the owner of the vehicle jumped out of the vehicle, left it running and the individual jumped in and attempted to drive away. The individual was intoxicated. The officer ordered the individual out of the vehicle and CPD arrived and placed the individual under arrest."
2014-0002569,3/10/14,3/10/2014  9:46:00PM To  9:58:00PM,MOTOR VEHICLE ACCIDENT,Other,PIERCE HALL LOT 29 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.
2014-0002571,3/10/14,3/10/2014 11:21:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,SHATTUCK HOUSE 207 207 PARK DR,MA,CLOSED,Officers dispatched to a report of an individual walking on the roof of the building. Officers arrived and report their was no one on the roof of the building.
2014-0002572,3/10/14,3/10/2014 11:50:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officers dispatched to a report of an individual yelling profanities in the area. Officers report the individual was gone on arrival.
2014-0002573,3/11/14,3/11/2014 12:05:00AM,UNWANTED GUEST,Suspicious activity,UHS UNIVERSITY HEALTH SERVICES 75 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2014-0002576,3/11/14,3/11/2014 12:36:00AM,ASSIST CAMBRIDGE POLICE,Other, 1555 MASSACHUSETTS AVE,MA,CLOSED,Officer assisted CPD with a report of a break into the building. Officer reports the property was not owned by Harvard and CPD handled the incident.
2014-0002579,3/11/14,3/11/2014 12:40:00AM To  2:27:00AM,THEFT REPORT,Theft,5 SACRAMENTO STREET ,MA,CLOSED,"Officers dispatched to a report of a break into the building. Officers arrived and were informed that a window was broken but nothing was reported missing at this time. Officer reports Real Estate was contacted and boarded up the window until it could be replaced.
Update 4/16/14: This case is closed pending any further information."
2014-0002590,3/11/14,3/11/2014  9:24:00AM,THEFT REPORT,Theft,PIERCE HALL 29 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of an attempted theft. Upon arrival the officer was advised that a storm window had been ripped away from the window pane and was laying on the ground. Officer reports the interior window was not broken and no entry was gained to the building. Officer reports management was aware of the incident.
Update 4/16/14: This case is closed pending any further information."
2014-0002595,3/11/14,3/10/2014 To 3/11/2014 5:00:00PM To  8:00:00AM,THEFT REPORT,Theft,CGIS KNAFEL BUILDING 1737 CAMBRIDGE ST,MA,CLOSED,"Officer dispatched to take a report of a stolen package that contained an Apple iPad Air valued at $599.
Update 4/16/14: This case is closed pending any further information."
2014-0002599,3/11/14,3/11/2014 12:00:00PM To  1:30:00PM,DEMONSTRATION,Disturbance,MASSACHUSETTS HALL 11 HARVARD YARD,MA,CLOSED,Officers stood by during a demonstration that went without incident.
2014-0002600,3/11/14,12/19/2013 To 12/29/201311:53:00AM To  1:29:00PM,THEFT REPORT,Theft,1 WESTERN AVENUE ,MA,CLOSED,Officer dispatched to take a report of a stolen package. The package contained a dress valued at $315.
2014-0002608,3/11/14,3/11/2014  3:58:00PM,ASSIST CAMBRIDGE POLICE,Other, MT AUBURN ST / DUNSTER ST,MA,CLOSED,Officer assisted CPD with traffic while the Cambridge Fire Department extinguished a motor vehicle that was on fire.
2014-0002610,3/11/14,3/11/2014  4:17:00PM To  4:35:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,RIDGLEY HALL 65 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of a naked individual on the roof who was smoking marijuana. Officers arrived and located the individual. Officers confiscated a pipe with a small amount of marijuana in it and sent the individual on their way. Officer informed the individual management would be notified of the incident.
2014-0002614,3/11/14,3/11/2014  4:52:00PM,REMOVE GROUP,Other,JOHN HARVARD STATUE 1 HARVARD YARD,MA,CLOSED,Officer reports sending a group who was video taping in the area on their way.
2014-0002619,3/11/14,3/11/2014  6:45:00PM,UNWANTED GUEST,Suspicious activity,SPANGLER CENTER 117 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers report the individual was gone on arrival.
2014-0002621,3/11/14,3/11/2014  8:03:00PM To  8:39:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,JFK PARK 968 MEMORIAL DR,MA,CLOSED,Officers dispatched to a report of a small group of individuals making lewd comments to another individual in the area. Upon arrival the officers were informed the reporting individual had left. Officers informed a few small groups that the park was closed and sent them on their way. Officers were able to speak with the reporting individual later in the evening who confirmed that the individuals made lewd comments.
2014-0002633,3/12/14,3/12/2014  7:53:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,BUSINESS SCHOOL LOT 112 WESTERN AVE,MA,CLOSED,Officer dispatched to a report of a vehicle door left open. Officer reports the vehicle was gone on arrival.
2014-0002639,3/12/14,3/11/2014 To 3/12/2014 6:00:00PM To  7:00:00AM,VANDALISM,Suspicious activity,FAY HOUSE 10 GARDEN ST,MA,CLOSED,Officer dispatched to take a report that an unknown individual(s) defecated outside the building.
2014-0002651,3/12/14,3/12/2014  2:36:00PM,UNWANTED GUEST,Suspicious activity,CENTER FOR LIFE SCIENCES BUILD 3 BLACKFAN CIR,MA,CLOSED,Officers dispatched to a report of an unwanted guest in the building. Upon arrival officers spoke with the individuals involved and determined the individual had authorization to be in the building to attend and event.
2014-0002652,3/12/14,3/12/2014  3:24:00PM To  3:35:00PM,THEFT REPORT,Theft,GATE 10 BUSINESS SCHOOL BOOTH EAST DR / SOLDIERS FIELD RD,MA,OPEN,"Officer dispatched to take take a report of a fare evasion.
Update 6/17/14: Upon further review this incident has been reclassified from Assist Boston Police to a Theft Report."
2014-0002657,3/12/14,3/12/2014  3:30:00PM,THREAT(S),Suspicious activity,ELIOT HOUSE DINING HALL 101 DUNSTER ST,MA,OPEN,Officer dispatched to take a report that an individual threatened another individual.
2014-0002661,3/12/14,3/12/2014 12:30:00PM To  1:00:00PM,THEFT REPORT,Theft,QUINCY HOUSE DINING HALL 3 DEWOLFE ST,MA,CLOSED,Officer dispatched to take a report of a stolen identification card.
2014-0002666,3/12/14,3/11/2014  7:00:00PM To 11:00:00PM,THEFT REPORT,Theft,FACULTY CLUB 20 QUINCY ST,MA,OPEN,Officer took a report of a stolen blue Apple iPhone valued at $200.
2014-0002667,3/12/14,3/11/2014 To 3/12/201410:00:00PM To  8:00:00AM,THEFT REPORT,Theft,JFK PARK 968 MEMORIAL DR,MA,CLOSED,Officer dispatched to take a report of a stolen backpack valued at $50. The backpack contained 4 books.
2014-0002676,3/13/14,3/13/2014 12:15:00AM,SUSPICIOUS ACTIVITY,Suspicious activity, 5 SACRAMENTO ST,MA,CLOSED,Officers dispatched to a report of several individuals smoking cigarettes between the buildings. Officers arrived and report the individuals were not suspicious and stepped out of their residence to smoke.
2014-0002710,3/13/14,3/13/2014  7:57:00AM To 10:30:00AM,SUSPICIOUS ODOR/SMOKE,Suspicious activity, 33 ELMWOOD AVE,MA,CLOSED,Officer reports the smell of natural gas in the area. Officer reports Cambridge Fire and NStar were on scene. Officer was informed there was a a small leak due to a service connection which was being repaired.
2014-0002717,3/13/14,3/13/2014  9:18:00AM,UNWANTED GUEST,Suspicious activity,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping in the building. Officers arrived and sent the individual on their way.
2014-0002724,3/13/14,3/13/2014 10:21:00AM,ASSIST BOSTON POLICE,Other, 200 LONGWOOD AVE,MA,CLOSED,Officers assisted the Boston Police with traffic.
2014-0002735,3/13/14,3/12/2014 To 3/13/2014 8:00:00PM To  9:03:00AM,THEFT REPORT,Theft,HEMENWAY GYMNASIUM H 1515 MASSACHUSETTS AVE,MA,CLOSED,"Officer took a report of a stolen wallet valued at $20. The wallet contained identification cards, credit/debit cards an MBTA pass valued at $20 and $80. The individual also informed the officer their headphones valued at $80 were also stolen.
Update 4/3/14: This case is closed pending any further information."
2014-0002744,3/13/14,3/13/2014  6:30:00PM To  9:00:00PM,THEFT REPORT,Theft,OFFICE OF CONTINUING EDUCATION 51 BRATTLE ST,MA,CLOSED,Officer dispatched to take a report of stolen shoes valued at $89.
2014-0002747,3/13/14,3/13/2014 11:10:00PM,LOUD PARTY,Noise,STORY HALL 12 EVERETT ST,MA,CLOSED,Officers dispatched to a report of loud noise in the lounge. Officers arrived and report a group of individuals were leaving.
2014-0002750,3/14/14,3/14/2014  1:28:00AM,DISTURBANCE,Disturbance,RADCLIFFE CAMPUS DRIVE 45 SHEPARD ST,MA,CLOSED,Officers were dispatched to a report of an overcrowded shuttle bus. Officers arrived and report the bus was gone on arrival.
2014-0002806,3/14/14,3/14/2014  1:55:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE,MA,CLOSED,"Officer dispatched to take a report of suspicious activity.
Update 8/4/14: This case is closed pending any further information."
2014-0002814,3/14/14,3/13/2014  8:00:00PM To 11:59:00PM,THEFT REPORT,Theft,LEVERETT HOUSE DINING HALL 8 MILL ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended black Netbook valued at $300.
Update 3/24/14: This case is closed pending any further information."
2014-0002816,3/14/14,3/14/2014  5:57:00PM,ASSIST STATE POLICE,Other, 224 WESTERN AVE,MA,CLOSED,Officer assisted the State Police with a motor vehicle stop in the area. Officers reports State handled the incident.
